camera_id,mode,N_valid,N_blocked,occlusion_pixel_ratio,N_added,added_pixel_ratio
C0,ideal,2073600,0,0.0,0,0.0
C0,body,2073600,0,0.0,0,0.0
C0,worn,2073600,0,0.0,0,0.0
C1,ideal,1820284,0,0.0,0,0.0
C1,body,1820284,0,0.0,0,0.0
C1,worn,1820284,0,0.0,0,0.0
C2,ideal,1820284,0,0.0,0,0.0
C2,body,1820284,0,0.0,0,0.0
C2,worn,1820284,0,0.0,0,0.0
C3,ideal,723804,0,0.0,0,0.0
C3,body,723804,30865,0.04264275964211306,0,0.0
C3,worn,723804,128620,0.17770004034241313,97755,0.13505728070030007
C4,ideal,723804,0,0.0,0,0.0
C4,body,723804,31204,0.043111118479588394,0,0.0
C4,worn,723804,169234,0.23381191593304265,138030,0.19070079745345425
C5,ideal,723804,0,0.0,0,0.0
C5,body,723804,46074,0.06365535421191372,0,0.0
C5,worn,723804,141831,0.19595221910904057,95757,0.13229686489712686
C6,ideal,723804,0,0.0,0,0.0
C6,body,723804,47544,0.06568629076379794,0,0.0
C6,worn,723804,184710,0.2551933948969611,137166,0.18950710413316313
