camera_id,mode,N_valid,device_pixels,mount_pixels,wearer_pixels,environment_pixels,unknown_pixels,device_ratio,mount_ratio,wearer_ratio,environment_ratio,unknown_ratio
C0,worn_full,2073600,0,0,0,2059847,13753,0.0,0.0,0.0,0.9933675733024692,0.006632426697530864
C1,worn_full,1820284,0,0,0,1745616,74668,0.0,0.0,0.0,0.9589800272924445,0.04101997270755552
C2,worn_full,1820284,0,0,0,1746185,74099,0.0,0.0,0.0,0.9592926158775225,0.04070738412247759
C3,worn_full,723804,29169,8494,85427,566340,34374,0.040299583865245285,0.011735221137213942,0.11802504545429425,0.7824493923769418,0.04749075716630469
C4,worn_full,723804,29169,7781,212529,440940,33385,0.040299583865245285,0.010750147830075545,0.29362783294925143,0.6091980701957989,0.04612436515962885
C5,worn_full,723804,44389,6726,85148,567310,20231,0.061327375919447806,0.009292570916988577,0.11763958198628358,0.7837895341832872,0.02795093699399285
C6,worn_full,723804,46421,6084,210377,440881,20041,0.06413476576531768,0.008405590463716696,0.29065465236445226,0.6091165564158253,0.02768843499068809
C0,room_only,2073600,0,0,0,2059847,13753,0.0,0.0,0.0,0.9933675733024692,0.006632426697530864
C1,room_only,1820284,0,0,0,1745616,74668,0.0,0.0,0.0,0.9589800272924445,0.04101997270755552
C2,room_only,1820284,0,0,0,1746185,74099,0.0,0.0,0.0,0.9592926158775225,0.04070738412247759
C3,room_only,723804,0,0,0,689430,34374,0.0,0.0,0.0,0.9525092428336953,0.04749075716630469
C4,room_only,723804,0,0,0,690419,33385,0.0,0.0,0.0,0.9538756348403712,0.04612436515962885
C5,room_only,723804,0,0,0,689417,34387,0.0,0.0,0.0,0.9524912821703113,0.0475087178296887
C6,room_only,723804,0,0,0,690431,33373,0.0,0.0,0.0,0.953892213914264,0.046107786085735916
C0,device_only,2073600,0,0,0,2059847,13753,0.0,0.0,0.0,0.9933675733024692,0.006632426697530864
C1,device_only,1820284,0,0,0,1745616,74668,0.0,0.0,0.0,0.9589800272924445,0.04101997270755552
C2,device_only,1820284,0,0,0,1746185,74099,0.0,0.0,0.0,0.9592926158775225,0.04070738412247759
C3,device_only,723804,29672,22465,0,637293,34374,0.04099452337925737,0.03103740791706042,0.0,0.8804773115373775,0.04749075716630469
C4,device_only,723804,30173,22465,0,637781,33385,0.0416866997142873,0.03103740791706042,0.0,0.8811515272090235,0.04612436515962885
C5,device_only,723804,44389,20456,0,633368,25591,0.061327375919447806,0.02826179462948533,0.0,0.8750545727848976,0.035356256666169296
C6,device_only,723804,46680,20456,0,630008,26660,0.0644925974435068,0.02826179462948533,0.0,0.8704124320948765,0.03683317583213135
